YEAR,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1958,,,,,,,6290,6310,6230,6140,5750,5950
1958,,,,,,,6310,6340,6310,6140,5720,5950
1958,,,,,,,6460,6340,6290,6170,5750,6000
1958,,,,,,,6600,6310,6310,6290,5800,6090
1958,,,,,,,6510,6340,6090,6200,5890,6030
1958,,,,,,,6540,6290,6340,6120,5780,6030
1958,,,,,,,6630,6310,6400,6170,5780,6030
1958,,,,,,,6570,6370,6310,6200,5720,6060
1958,,,,,,,6510,6310,6460,6230,5800,5950
1958,,,,,,,6460,6340,6400,6290,5890,5950
1958,,,,,,,6480,6310,6260,6310,5920,5970
1958,,,,,,,6430,6290,6260,6310,5920,5950
1958,,,,,,,6430,6310,6200,6310,5920,5970
1958,,,,,,,6400,6260,6200,6310,5890,5970
1958,,,,,,,6510,6260,6290,6170,5920,5950
1958,,,,,,,6480,6260,6230,6200,5830,5890
1958,,,,,,,6430,6310,6260,6120,5830,5860
1958,,,,,,,6480,6340,6230,6090,5890,5890
1958,,,,,,,6510,6310,6200,6090,5920,5890
1958,,,,,,,6400,6310,6090,6060,5920,5890
1958,,,,,,,6400,6310,6090,6090,5950,5890
1958,,,,,,,6310,6290,6060,6000,5970,5890
1958,,,,,,,6310,6310,6090,6030,5970,5860
1958,,,,,,,6340,6310,6120,6000,5970,5800
1958,,,,,,,6340,6310,6120,5970,5890,5800
1958,,,,,,,6340,6290,6120,5950,5860,5800
1958,,,,,,,6430,6340,6090,5890,5920,5830
1958,,,,,,,6370,6310,6120,5830,5920,5830
1958,,,,,,,6480,6310,6140,5800,5970,5780
1958,,,,,,,6400,6290,6140,5780,5950,5690
1958,,,,,,,6310,6290,,5750,,5720
1959,5490,5320,5380,6460,7450,7420,7330,6770,6460,5890,5970,5920
1959,5550,5380,5470,6480,7420,7450,7280,6770,6460,5890,5970,5890
1959,5490,5440,5440,6510,7390,7420,7250,6800,6340,5890,5970,5920
1959,5470,5380,5440,6510,7420,7480,7250,6770,6340,5890,5970,5890
1959,5490,5380,5470,6510,7420,7450,7220,6770,6340,5860,5970,6000
1959,5490,5410,5470,6510,7450,7450,7310,6680,6340,5860,5970,5970
1959,4960,5440,5520,6480,7450,7450,7250,6650,6340,5890,5970,5950
