city,place,country,latitude,longitude
Love,Saskatchewan,Canada,53.4866,-104.1666
Valentine,Nebraska,USA,42.8728,-100.551
Love,Virginia,USA,37.8854,-79.01
Love,Texas,USA,32.9708,-94.6093
Love,Mississippi,USA,34.7534,-89.9701
Love,Kentucky,USA,37.2831,-86.5272
Love,Illinois,USA,42.32,-89.0582
Love,Arizona,USA,33.8523,-113.4658
Love,Podrala Parish Valga County,Estonia,58.0604,25.8805
Love Beach,New Providence,Bahamas,25.0880556,-77.5
Love,Cuanza Sul,Angola,-11.20802,14.67576
Paris,Ile de France,France,48.8566,2.3522
Loveland Mountain,Colorado,USA,39.30888889,-106.3058333
Valentine,Midi Pyrenees,France,43.095,0.706
Valentines,Treinta y Tres,Uruguay,-33.2582,55.1031
Romance,La Romana,Dominican Republic,18.4273,-68.9729
Romance,Eastern Cape,South Africa,-32,27
Cupido,Sooretama,Brazil,-19.0667,-40.1333
Cupido,Villa Clara,Cuba,22.383,-79.95
Cupido,Nickerie,Suriname,5.6468,-56.6991
Hearts Content ,Newfoundland and Labrador,Canada,47.87,-53.3631
Loveland,Oklahoma,USA,34.3054,-98.7717
